site_index,English_Quote,Persian_Quote,Prise_Writer
17333,"'If you have school or work, you'll be sleep deprived because you won't be able to put it down!'",اگر می خواهید یک مجموعه فانتزی پر از سامورایی ها ، ارواح و آدم کشی های دیو ، و عاشقانه بخوانید، لطفا این کتاب را انتخاب کنید!,MIND BLOWN
84750,"A wonderful story with great heart, mystery, and insight.",داستانی فوق العاده با قلب، رمز و راز و بینش عالی.,Clare Vanderpool
84750,"A heartwarming yet suspenseful debut about the strength of family, the turmoil of friendships lost and found, and most importantly, remembering who you are.",کتابی دلگرم کننده و در عین حال پر از تعلیق درباره استحکام خانواده، آشفتگی دوستی های از دست رفته و پیدا شده، و مهمتر از همه، یادآوری اینکه چه کسی هستید.,Lynne Kelly
95559,"A fast-paced, twisty thriller....A first-rate read....But then, with four final pages, Sager reveals a final surprise that is stunning yet somehow feels exactly right.",یک تریلر پرسرعت و پرپیچ و خم...یک کتاب درجه یک...اما پس از آن، با چهار صفحه پایانی، ساگر یک شگفتی نهایی را نشان می دهد که خیره کننده است اما به نوعی کاملا درست است.,Associated Press
95559,"Sager excels at playing with reader expectations and in concocting plausible, gut-wrenching twists.",ساگر در بازی با انتظارات خواننده و ساختن پیچ و تاب های معقول و دلخراش ماهر است.,Publishers Weekly
16568,"Brilliant. An important, fascinating read.",درخشان. اثری مهم و شگفت انگیز.,New York Times
16568,"A timely examination of the physical, psychological, and moral effects of inequality.",کاوشی بهنگام در تأثیرات جسمانی، روانشناختی و اخلاقی نابرابری.,Barnes & Noble
16568,"Thought-provoking, accessible and well worth a spot on your reading list.",تفکربرانگیز، قابل فهم، و کاملا شایسته ی جایگاهی در فهرست مطالعاتی شما.,Washington Post
1617,"A strange, terrific, spellcasting story.",داستانی عجیب، فوق العاده و مسحورکننده.,San Francisco Chronicle
1617,Glorious.,شکوهمند.,The New Yorker
1617,"A captivating story of strength and frailty, love and imprisonment.",داستانی مسحورکننده درباره ی قدرت و ضعف، عشق و اسارت.,Amazon
84476,By one of the leading contemporary Lacanian psychoanalysts.,اثر یکی از برجسته ترین روانکاوان «لاکانی» معاصر.,Barnes & Noble
84476,With vivid clinical examples.,با مثال های بالینی ملموس.,Amazon
84476,"A clear, accessible, and highly readable contribution to psychoanalytic literature.",مشارکتی شیوا، قابل فهم و فوق العاده خواندنی در آثار مربوط به روانکاوی.,"Adrian Johnston, author"
119,"Maddeningly complex, hypnotically brilliant, entirely original.",به شکل دیوانه واری پیچیده، بسیار درخشان و کاملا بدیع.,Washington Post
119,"Sharply observed, well written, and acerbically witty.",با دقتی موشکافانه، نگارشی بسیار خوب و لطافت طبعی گزنده.,Library Journal
119,A feisty ironic comedy.,یک اثر کمدی سرزنده و طعنه آمیز.,Kirkus Reviews
58294,Spellbinding.,مسحورکننده.,Kirkus Reviews
58294,This ambitious fantasy illustrates storytelling’s power and fear’s role in faith.,این فانتزی بلندپروازانه، قدرت داستان سرایی و نقش ترس در مفهوم ایمان را به تصویر می کشد.,Publishers Weekly
58294,It creates exactly the kind of experience Hardinge's fans expect: extraordinary.,این کتاب، دقیقا همان تجربه ای را خلق می کند که طرفداران «هاردینگ» انتظارش را دارند: تجربه ای خارق العاده.,Shelf Awareness
39429,Fans of the first book will not be disappointed.,طرفداران کتاب نخست، ناامید نخواهند شد.,Publishers Weekly
39429,"An even better sequel—along with plenty of intrigue, danger, spying, violence, and romance.",دنباله ای حتی بهتر-سرشار از توطئه، خطر، جاسوسی، خشونت، و عشق.,Kirkus Reviews
39429,"Big, brave, brilliant.",وسیع، جسورانه، درخشان.,Guardian
359,An unforgettable story.,داستانی فراموش نشدنی.,San Diego Union Tribune
359,This novel shines.,این رمان می درخشد.,Publishers Weekly
359,A highly praised novel.,رمانی بسیار تحسین شده.,KLIATT
54447,"An absorbing, bittersweet tribute.",ادای احترامی جذاب و تلخ.,Kirkus Reviews
54447,"With its themes of epic passion, repugnant greed, and nefarious treachery, Gucci's memoir is straight out of Shakespeare…",خاطرات گوچی با مضامین اشتیاق حماسی، طمع نفرت انگیز و خیانت شرورانه، مستقیما از شکسپیر بیرون آمده است…,Booklist
33688,This demanding journey transformed Morgan's work as a healer into that of a messenger with a message many are eager to hear.,این سفر طاقت فرسا ، کار مورگان را به عنوان یک شفابخش به یک پیام رسان با پیامی تبدیل کرد که بسیاری مشتاق شنیدن آن هستند.,Booklist
33688,An earnest person strides out into the world and returns--a New Age prophet glowing with the wisdom of indigenous cultures--to tell us that we are living life out of balance.,فردی مشتاق از دنیا گام بیرون می نهد و برمی گردد - یک پیامبر عصر جدید که با درایت فرهنگ های بومی می درخشد - و به ما می گوید که حیات نامتعادلی را زندگی می کنیم.,Kirkus Reviews
33688,"with its high-powered package of New Age philosophy wrapped in an adventure narrative, this book may be the next Celestine Prophecy.","این کتاب با مطالب قدرتمندی از فلسفه ی عصر جدید که در یک روایت ماجراجویانه پیچیده شده ، می تواند ""پیشگویی آسمانی"" بعدی باشد.",Publishers Weekly
3293,one of the most fascinating correspondences of the last century,یکی از جذاب ترین مکاتبات قرن گذشته.,goodreads
17827,"No writer has better understood the mix of fear and possibility, peril and exuberance that's marked this new millennium.",هیچ نویسنده ای بهتر از او ترکیبی از ترس و احتمال ، خطر و شور و نشاط که این هزاره جدید را رقم زده بهتر درک نکرده است..,Bill McKibben
17827,"Rebecca Solnit is a national literary treasure: a passionate, close-to-the-ground reporter with the soul and voice of a philosopher-poet.",ربکا سلنیت یک گنجینه ادبی ملی است: گزارشگری پرشور ، همگام بار زمانه، با روح و صدای یک شاعر فیلسوف.,Adam Hochschild
17827,Hope In the Dark changed my life.,این کتاب زندگی مرا تغییر داد.,Astra Taylor
29279,"Provides an excellent biography suitable for high schools and public collections alike. Mother Teresa's beliefs, her noted humanistic works, and her vision to live and work among the poorest in the world are reviewed in an excellent work filling a reference gap for comprehensive yet readable biographies.",یک زندگی نامه ی عالی و مناسب برای دبیرستان و مجموعه های عمومی. عقاید مادر ترزا، کارهای بشردوستانه ی قابل توجه او، و بینش او برای زندگی و کار کردن در میان فقیرترین آحاد جامعه، در این اثر عالی بررسی شده و جای خالی مرجعی در این زمینه که همزمان خواندنی و درک پذیر باشد را پر کرده است.,MBR Bookwatch
29279,Very comprehensive and interesting and will serve both high school libraries and public libraries well,بسیار جامع و جذاب؛ این اثر هم در کتابخانه های دبیرستان و هم کتابخانه های عمومی به خوبی خدمت خواهد کرد.,Catholic Library World
10793,Clear and deeply moving.,بی پرده و عمیقا تکان دهنده.,Barnes & Noble
10793,A sparkling book.,کتابی درخشان.,The Washington Post
10793,"It displays again why she is one of Japan’s, and the world’s, most beloved writers.",این کتاب دوباره نشان می دهد چرا یوشیموتو یکی از محبوب ترین نویسندگان ژاپن، و جهان، است.,Amazon
14501,Beguiling . . . literate . . . fascinating. A wry primer for people who desperately want to be on top.,فریبنده... باسواد... شگفت انگیز... آغازی برای کسانی که به شدت می خواهند در صدر باشند,People magazine
14501,Illuminating,درخشان,The Guardian
14501,"Greene’s specialty is analyzing the lives and philosophies of historical figures like Sun Tzu and Napoleon, and extracting from them tips on how to manipulate people and situations—a cutthroat worldview",تخصص گرین در تجزیه و تحلیل زندگی و فلسفه های چهره های تاریخی مانند سان تزو و ناپلئون است و از راهنمایی هایی که از آنها درباره چگونگی اداره کردن مردم و موقعیت ها به دست می آورد - یک جهان بینی پیشگامانه.,The New York Times
36320,A creepy thriller by suspense master Mary Downing Hahn.,تریلری تشویش آور از استاد تعلیق «مری داونینگ هان».,Barnes & Noble
36320,"As always, Hahn is brilliant at establishing tone.",«هان» مثل همیشه در تثبیت حال و هوای داستان، درخشان عمل می کند.,Kirkus Reviews
36320,With just the right amount of frightening and dangerous elements.,با میزانی کاملا درست از عناصر ترسناک و خطرناک.,School Library Journal
106213,Compellingly artful . . . [a] blockbuster memoir.,بسیار هنرمندانه و زندگی نامه ای پرفروش,New Yorker
106213,A scorching account of life in a golden cage.,روایتی سوزان از زندگی در قفس طلایی.,Atlantic
11946,"Original, funny, and unique.",بدیع، بامزه و منحصر به فرد.,The Guardian
11946,It establishes Anna Burns as one of the most consequential voices of our day.,این کتاب، آنا برنز را به عنوان یکی از مهم ترین صداهای عصر ما به تثبیت می رساند.,Barnes & Noble
11946,A deft and triumphant work of considerable intelligence and importance.,اثری ماهرانه و موفق، با هوش و اهمیتی شایان توجه.,Los Angeles Times
543,It ranks among Freud most enjoyable works.,این کتاب در زمره ی لذت بخش ترین آثار فروید جای می گیرد.,Barnes & Noble
543,"Amusing, moving, and deeply revealing of the repressed, hypocritical society of his day.",سرگرم کننده و تکان دهنده. این اثر، از جامعه ی سرکوب شده و متظاهر زمان فروید پرده بر می دارد.,Books a Million
543,It is worth reading for the glimpses it provides into Freud's genius.,این اثر به خاطر دادن درکی از نبوغ فروید، ارزش خواندن دارد.,Adam Tornhill
82707,With an affecting fable-like style and absorbing narrative.,با سبکی تأثیرگذار و افسانه-مانند، و روایتی جذاب.,Publishers Weekly
82707,"A poignant, lyrical story.",داستانی گزنده و شعرگونه.,Kirkus Reviews
82707,Filled with challenging ideas and potent language.,سرشار از ایده های چالش برانگیز و زبان قدرتمند.,Booklist
84192,A complicated gothic thriller of dueling spouses and homicidal writers.,یک تریلر گوتیک پیچیده درباره همسران در حال نبرد، و نویسندگان جانی.,Kirkus Reviews
84192,With just enough ambiguity to linger in the reader’s mind long after finishing.,با میزانی کاملا درست از ابهام که باعث می شود داستان تا مدت ها پس از پایان در ذهن مخاطبین باقی بماند.,CrimeReads
84192,This page-turner will keep you guessing.,این اثر جذاب، شما را وادار می کند که به حدس زدن ادامه دهید.,Real Simple
62716,"Fisher’s tale of family, pluck, and magic will delight readers.",داستان «فیشر» درباره ی خانواده، شجاعت و جادو، مخاطبین را به وجد خواهد آورد.,Barnes & Noble
62716,A magical sequel to The Clockwork Crow.,دنباله ای جادویی بر کتاب «کلاع کوکی».,Penguin Random House
62716,A splendid sequel spotlighting the mysterious magic of true friendship.,دنباله ای درخشان که بر جادوی اسرارآمیز دوستی حقیقی تأکید می کند.,Booklist
414,A well-crafted story rich with emotion and intrigue.,داستانی خوش ساخت با احساسات و هیجانی غنی.,Newsweek
414,A tense mystery that blends history and Norse myth.,یک داستان معمایی پرتنش که تاریخ و اسطوره های اسکاندیناوی را در هم می آمیزد.,Publishers Weekly
414,Kirby is a strong emerging novelist.,کربی، رمان نویسی قدرتمند و در حال شکوفایی است.,Kirkus Reviews
5315,it was a good solid comic drama.,"""نمایشنامه ی کمدی خوب و محکم .",goodreads
1665,A thriller unlike any you've ever read.,تریلری متفاوت با هر آنچه تا به حال خوانده اید.,Barnes & Noble
1665,Essential for all libraries.,ضروری برای همه ی کتابخانه ها.,Library Journal
1665,Unputdownable.,اثری که نمی توان آن را کنار گذاشت.,The Washington Post
38424,"A harrowing, haunting reminder of what it means to be human.",یک یادآوری رعب انگیز و فراموش نشدنی از معنای انسان بودن.,Washington Post
38424,"A worthy novel, and one as brave as its characters.",رمانی ارزشمند، و اثری به شهامت شخصیت هایش.,New York Times
38424,"Fast-paced, well-structured and full of twists and turns.",سریع، خوش ساخت و سرشار از پیچ و خم.,NPR
45277,Fans of Malerman’s precise prose will be pleased to explore this new and unsettling world.,طرفداران نثر دقیق «ملرمن» از کاوش در این جهان جدید و تشویش آور به وجد خواهند آمد.,Publishers Weekly
45277,An enjoyably tenderhearted novel.,رمانی لذت بخش و پراحساس.,Kirkus Reviews
45277,A dive into eerie waters.,شیرجه ای به درون آب های وهم آلود.,Dread Central
381,"A magnificent novel that reawakens days long past, illuminating them with a dazzling light.",رمانی باشکوه که روزهای بسیار دور را دوباره زنده می کند و نوری خیره کننده به آن ها می تاباند.,Elle
381,A powerful examination of individual guilt and responsibility.,کاوشی قدرتمند درباره ی جرایم و مسئولیت های شخصی.,Toronto Star
381,"No one is currently writing such beautiful tales of loss, melancholy, and remembrance.",هیچ کس[مانند مودیانو]در حال حاضر چنین داستان های زیبایی درباره ی فقدان، مالیخولیا و یادآوری خاطرات نمی نویسد.,Independent
1155,"Admired by statesmen, thinkers and readers through the centuries.",تحسین شده توسط سیاست مداران، متفکرین و مخاطبین در طول قرن ها.,Goodreads
1155,One of the greatest works of spiritual and ethical reflection ever written.,یکی از بزرگترین آثار درباره ی تفکرات معنوی و اخلاقی در تاریخ.,Barnes & Noble
1155,A practical and inspirational guide to the challenges of everyday life.,راهنمایی کاربردی و الهام بخش برای چالش های زندگی روزمره.,Amazon
5046,A stunningly intimate memoir.,شرح حالی که به شکل خیره کننده ای صمیمانه است.,Entertainment Weekly
5046,A wondrous and intimate book.,کتابی شگرف و صمیمی.,Barnes & Noble
5046,Allende’s account of why and how she became a writer is profoundly moving.,شرح «آلنده» درباره ی چرایی و چگونگی تبدیل شدن او به یک نویسنده، عمیقا تکان دهنده است.,Booklist
532,"A mesmerizing, surprise-jammed mystery that works purely on its own terms.",یک داستان معمایی مسحورکننده و پر از غافل گیری که قواعد و قوانین مختص به خود را دارد.,New York Times
532,"A masterly blend of mystery, suspense and tragedy.",ترکیبی استادانه از داستان معمایی، تعلیق و تراژدی.,Publishers Weekly
532,A captivating study of human nature.,پژوهشی حیرت انگیز درباره ی سرشت بشر.,New Orleans Advocate
21022,An engaging reflection on international football in the World Cup era.,تأملی جذاب در مورد فوتبال بین المللی در دوران جام جهانی.,Kirkus Reviews
173,"Bellow’s vision, his uncanny ability to seize the moment and to see beyond it is remarkable.",بینش بلو، توانایی اش در تصاحب لحظه و دیدن ماورای آن، بسیار شایان توجه است.,Chicago Times
173,A powerful commentary on distinctly American ideals.,تحلیلی استوار از آرمان های مشخصا آمریکایی.,Penguin Random House
173,This book occupies a unique place in Bellow’s career.,این کتاب در مسیر شغلی بلو، جایگاه ویژه ای دارد.,Library Journal
63835,"With engaging characters, a well-realized setting, and poetic prose.",با کاراکترهای جذاب، محیطی خوش-ساخت، و نثری شعرگونه.,Publishers Weekly
63835,A savage and beautiful story of a young man seeking redemption.,داستانی پرالتهاب و زیبا درباره مردی جوان که در طلب رستگاری است.,Amazon
63835,"A beautiful, brutal book.",کتابی زیبا و بی رحمانه.,Minneapolis Star-Tribune
38248,"...the average person who is interested in arguments and logic but who doesn't have much background in philosophy would certainly find this book useful, as would anyone teaching a course on arguments, logic, and reasoning. Even introductory courses on philosophy in general might benefit because the book lays out so many of the conceptual ""tools"" which will prove necessary over students' careers.","... یک فرد معمولی که علاقه مند به استدلال و منطق است اما سابقه زیادی در فلسفه ندارد ، مطمئنا این کتاب را مفید می داند ، همچنین کسی که دروس بحث ، منطق و استدلال را تدریس می کند. حتی دوره های مقدماتی فلسفه به طور کلی می تواند سودمند باشد زیرا این کتاب بسیاری از ""ابزار"" مفهومی را ارائه می دهد که اثبات می شود در شغل دانش آموزان ضروری است.",About.com
69,"“Ambitious, haunting… thought-provoking.",بلندپروازانه، فراموش نشدنی...الهام بخش فکر و اندیشه.,Boston Globe
69,"McGregor succeeds in paying homage to the dispossessed and the hopeless, who live and die on the margins of society.",مک گرگور، در تکریم محرومان و بیچارگان به موفقیت می رسد، کسانی که زندگی و مرگشان در حاشیه ی جامعه اتفاق می افتد.,Booklist
69,"Those who enjoyed Hubert Selby Jr.'s ""Requiem for a Dream"" will value the style and the subject matter.",کسانی که از «مرثیه ای برای یک رویا» اثر هوبرت سلبی لذت برده اند، برای سبک و موضوع [این کتاب] ارزش قائل خواهند شد.,Library Journal
35780,This book has just about everything an aspiring production manager will need to know about their role in the production process,این کتاب تقریبا همه چیزهایی را دارد که یک مدیر تولید مشتاق باید درباره نقش خود در فرآیند تولید بداند.,Black Filmmaker
35780,"Film production management is quite a different affair in many respects to that of live shows; there is often more time available to spend planning, but equally there are often more people and more problems to manage. As such there is a lot more paperwork, and managing this efficiently is a key theme throughout this book.",مدیریت تولید فیلم از بسیاری جهات با برنامه های زنده متفاوت است. اغلب زمان بیشتری برای صرف برنامه ریزی در دسترس است، اما به همان اندازه اغلب افراد بیشتر و مشکلات بیشتری برای مدیریت وجود دارد. به این ترتیب کاغذبازی بسیار بیشتری وجود دارد، و مدیریت کارآمد این موضوع یک موضوع کلیدی در سراسر این کتاب است.,Lighting & Sound
21029,A significant building block in Coe’s adventurous and distinctive oeuvre.,بخشی مهم از مجموعه آثار ماجراجویانه و متمایز «کو».,Kirkus Reviews
21029,"A compelling, poignant read.",داستانی مهیج و گزنده.,Entertainment Weekly
21029,A smart satire of materialism and modern life.,هجوی هوشمندانه درباره ماتریالیسم و زندگی مدرن.,Los Angeles Times
1689,A collection of critical pieces.,مجموعه ای از آثاری بااهمیت.,Publishers Weekly
1689,Intriguing and valuable.,هیجان انگیز و ارزشمند.,Library Journal
24931,"A sharp, deft, luminous portrait",پرتره ای تندو تیز، ماهرانه، و درخشان.,Observer
24931,"Magically evocative, brilliantly described. The Film Explainer is extraordinarily moving both as autobiography and atmospheric memoir.",به شکل جادویی ای برانگیزنده است و به صورتی درخشان توصیف شده است. پرده خوان رمانی خارق العاده است هم از جهت بیوگرافی و هم از جهت اتمسفر خاطره جویش.,Independent
1238,A revealing record of Neruda's life.,شرحی آشکارکننده از زندگی نرودا.,Barnes & Noble
1238,Brilliant.,درخشان.,National Review
1238,A classic and deeply moving memoir.,شرح حالی کلاسیک و عمیقا تکان دهنده.,Amazon
68079,A fast-paced must-read.,اثری سریع و ضروری.,Publishers Weekly
68079,"A groundbreaking work, based on seven years of research in the Vatican and Fascist archives.",اثری پیشگامانه، بر اساس هفت سال تحقیق در آرشیو «واتیکان» و حکومت فاشیست.,Barnes & Noble
68079,It brims with memorable portraits of the men who helped enable the reign of Fascism in Italy.,سرشار از پرتره های به یاد ماندنی از مردانی که به سلطه «فاشیسم» در ایتالیا کمک کردند.,Penguin Random House
82695,"A substantial, comprehensive, authoritative collection of the classical and contemporary readings in the philosophy of religion.",مجموعه ای شایان توجه، جامع و موثق از دیدگاه های کلاسیک و معاصر در فلسفه دین.,Barnes & Noble
82695,"A survey and analysis of the key issues, figures and concepts of the field.",پژوهش و تحلیلی از مسائل، چهره ها و مفاهیم اصلی در این حوزه.,Amazon
82695,An excellent overview of some of the best recent work in the field.,یک بررسی اجمالی عالی از برخی از بهترین آثار متأخر در این عرصه.,"Mark Wynn, University of Exeter"
1982,"It provides solid, tried-and-true tools to meet life’s challenges.",این اثر ابزاری قابل اتکا و آزموده شده را برای مواجهه با چالش های زندگی ارائه می کند.,Penguin Random House
1982,An excellent book.,کتابی شگرف.,Amazon
876,Hawking invites us to be fellow travelers on this extraordinary voyage through spacetime.,هاوکینگ از ما دعوت می کند که در این سفر خارق العاده در فضازمان، همراه باشیم.,Barnes & Noble
876,"Clear, concise and accessible.",واضح، موجز و قابل فهم.,St Louis Post-Dispatch
876,Provocative and informed.,تفکربرانگیز و پر از اطلاعات.,Time
14220,An enthralling ghostly tale.,یک داستان ارواح مهیج.,School Library Journal
14220,Perfect for young readers.,اثری عالی برای مخاطبین کم سن و سال.,Booklist
14220,A spooky tale.,قصه ای وحشت انگیز.,Publishers Weekly
6321,An elegant page-turner of detective fiction.,یک داستان کارآگاهی جذاب و پرظرافت.,The Washington Post Book World
6321,Startling and spellbinding.,حیرت انگیز و مسحورکننده.,The New York Times Book Review
6321,An extraordinary achievement.,دستاوردی خارق العاده.,San Francisco Chronicle
1125,Mesmerizing.,مسحورکننده.,Newsweek
1125,A deeply spiritual book.,کتابی عمیقا معنوی.,Washington Post
1125,"A gift of profound insight, wisdom.",هدیه ای با بینش و خردی ژرف.,Alice Walker
2423,Critical to the success of every manager.,اثری ضروری برای موفقیت هر مدیر.,Amazon
2423,Learn how to make better decisions.,یاد بگیرید که چگونه تصمیمات بهتری اتخاذ کنید.,Barnes & Noble
624,"Romantic, comic, and somber.",عاشقانه، طنزآمیز و تاریک.,Amazon
624,It reveals Waugh to be a novelist of the utmost feeling and lucidity.,این اثر نشان می دهد که وو، رمان نویسی در اوج احساس و روشن بینی است.,Daily Mail
624,A masterpiece with brilliant and hilarious details.,شاهکاری با جزئیات درخشان و طنزآمیز.,Guardian
26627,"By giving poor people the power to help themselves, Dr. Yunus has offered them something far more valuable than a plate of food - security in its most fundamental form.",دکتر یونس با دادن قدرت به افراد فقیر برای کمک به خود، چیزی بسیار ارزشمندتر از یک بشقاب غذا به آنها پیشنهاد داده است - امنیت در اساسی ترین شکل آن.,President Jimmy Carter
26627,"I only wish every nation shared Dr. Yunus's and the Grameen Bank's appreciation of the vital role that women play in the economic, social, and political life of our societies.",فقط آرزو می کنم که همه ملت ها قدردان دکتر یونس و بانک گرامین از نقش حیاتی زنان در زندگی اقتصادی، اجتماعی و سیاسی جوامع ما باشند.,Hillary Clinton
53112,Mises's classic statement in defense of a free society.,بیانیه ی کلاسیک «میزس» در دفاع از جامعه ای آزاد.,Amazon
53112,One of the most inspiring books ever written on the idea of liberty.,یکی از الهام بخش ترین کتاب هایی که درباره ی مفهوم آزادی نوشته شده است.,Barnes & Noble
